Seed,Dataset,Feature,Architecture Type,GNN Type,Use GNN,Use Text,Use HGFND,Pooling,Epochs,Accuracy
42,politifact,bert,GNN-Only (SAGE) - Max,SAGE,True,False,False,max,180,0.8416289592760181
42,politifact,bert,GNN-Only (SAGE) - Mean,SAGE,True,False,False,mean,180,0.8235294117647058
42,politifact,bert,GNN-Only (SAGE) - Add,SAGE,True,False,False,add,180,0.8461538461538461
42,politifact,bert,GNN-Only (SAGE) - Attn,SAGE,True,False,False,attention,180,0.8280542986425339
42,politifact,bert,GNN+Text (SAGE) - Max,SAGE,True,True,False,max,180,0.832579185520362
42,politifact,bert,GNN+Text (SAGE) - Mean,SAGE,True,True,False,mean,180,0.8280542986425339
42,politifact,bert,GNN+Text (SAGE) - Add,SAGE,True,True,False,add,180,0.8235294117647058
42,politifact,bert,GNN+Text (SAGE) - Attn,SAGE,True,True,False,attention,180,0.8280542986425339
42,politifact,bert,HGFND (SAGE) - Max,SAGE,True,True,True,max,180,0.8733031674208145
42,politifact,bert,HGFND (SAGE) - Mean,SAGE,True,True,True,mean,180,0.8506787330316742
42,politifact,bert,HGFND (SAGE) - Add,SAGE,True,True,True,add,180,0.5746606334841629
42,politifact,bert,HGFND (SAGE) - Attn,SAGE,True,True,True,attention,180,0.8642533936651584
2026,politifact,bert,GNN-Only (SAGE) - Max,SAGE,True,False,False,max,180,0.8371040723981901
2026,politifact,bert,GNN-Only (SAGE) - Mean,SAGE,True,False,False,mean,180,0.8235294117647058
2026,politifact,bert,GNN-Only (SAGE) - Add,SAGE,True,False,False,add,180,0.832579185520362
2026,politifact,bert,GNN-Only (SAGE) - Attn,SAGE,True,False,False,attention,180,0.8371040723981901
2026,politifact,bert,GNN+Text (SAGE) - Max,SAGE,True,True,False,max,180,0.8416289592760181
2026,politifact,bert,GNN+Text (SAGE) - Mean,SAGE,True,True,False,mean,180,0.8280542986425339
2026,politifact,bert,GNN+Text (SAGE) - Add,SAGE,True,True,False,add,180,0.8371040723981901
2026,politifact,bert,GNN+Text (SAGE) - Attn,SAGE,True,True,False,attention,180,0.8280542986425339
2026,politifact,bert,HGFND (SAGE) - Max,SAGE,True,True,True,max,180,0.8506787330316742
2026,politifact,bert,HGFND (SAGE) - Mean,SAGE,True,True,True,mean,180,0.8371040723981901
2026,politifact,bert,HGFND (SAGE) - Add,SAGE,True,True,True,add,180,0.8190045248868778
2026,politifact,bert,HGFND (SAGE) - Attn,SAGE,True,True,True,attention,180,0.8642533936651584
